Year,Melanoma_Mortality,"Non_melanoma_Mortality
",Melanoma_Incidence,Non_melanoma_Incidence
1971,2.7,1.1,,
1972,2.8,1,,
1973,2.8,1,,
1974,2.9,1.2,,
1975,3.1,1.1,,
1976,3.1,1.1,,
1977,3.6,1.5,,
1978,3.5,1.4,,
1979,3.7,1.2,,
1980,3.7,1.1,,
1981,3.8,1.3,,
1982,3.9,1.2,23.3,
1983,4,1.4,24.7,
1984,4.1,1.5,26,
1985,4.3,1.2,28.6,
1986,4.3,1.3,29.4,
1987,4.9,1.4,34.2,
1988,4.7,1.3,36.4,
1989,4.7,1.7,34.1,
1990,4.9,1.5,34.2,
1991,4.7,1.5,34.5,
1992,5,2.1,37.6,
1993,4.8,2.1,38.4,
1994,5,2,39,
1995,5.2,2,41.5,
1996,5,2,43,
1997,4.9,1.9,45.9,
1998,5.2,1.9,43,
1999,5.3,2,44.6,
2000,5.1,1.9,45.8,
2001,5.6,2,46.7,2.6
2002,5.4,2.1,50.6,2.7
2003,5.8,2,48.7,2.7
2004,6,1.8,49.5,2.8
2005,6.3,2,53.7,2.8
2006,6.1,2,51,3
2007,6.3,2.2,50.1,3.2
2008,6.6,1.9,52.4,3
2009,6.5,2.2,52.1,3.2
2010,6.5,2,52.3,3.2
2011,6.9,2.4,52.1,3.1
2012,6.8,2.4,53.8,3.4
2013,7,2.6,55.7,3.7
2014,6.3,2.6,56.2,3.6
2015,6.3,2.7,57.6,3.9
2016,5.3,2.8,60.1,4
2017,5.8,2.6,60.8,4.6
2018,5.6,2.7,60.6,4
2019,5.6,2.7,61.7,5
2020,5.5,2.8,64.3,5
2021,5.7,3,66.4,5.2
2022,5.2,3,67.9,5.5
2023,5,3,69.4,5.8
